Time,Tv_avg,rho_V_avg,Q_VL,Q_L,Q_V,V_L,B_L,BOG,drho_V_avg,dV_L,T_BOG,Q_Vw,Q_tot
0,239.834,0.889926,-3.42386e-11,19144.6,1007.61,83622.5,0.02174,0.02174,0,0,239.834,705.327,29776.6
3600,239.943,0.889514,39.3976,19144.6,1004.8,83622.4,0.0217673,0.0222422,-1.14357e-07,-3.19315e-05,239.955,703.361,29814
7200,240.041,0.889102,54.5669,19144.5,1002.28,83622.3,0.0217771,0.0222316,-1.09714e-07,-3.19477e-05,240.076,701.597,29827.4
10800,240.131,0.888724,65.4003,19144.5,999.964,83622.2,0.0217838,0.0222007,-1.01178e-07,-3.19578e-05,240.196,699.975,29836.6
14400,240.214,0.888374,74.112,19144.5,997.818,83622.1,0.021789,0.0221736,-9.38299e-08,-3.19657e-05,240.315,698.473,29843.8
18000,240.291,0.888048,81.4596,19144.5,995.824,83621.9,0.0217934,0.0221491,-8.72598e-08,-3.19721e-05,240.431,697.077,29849.7
21600,240.364,0.887745,87.8857,19144.4,993.967,83621.8,0.0217971,0.0221265,-8.12948e-08,-3.19776e-05,240.544,695.777,29854.8
25200,240.431,0.887463,93.6269,19144.4,992.235,83621.7,0.0218004,0.0221057,-7.58028e-08,-3.19825e-05,240.651,694.565,29859.3
28800,240.494,0.8872,98.8033,19144.4,990.621,83621.6,0.0218033,0.0220862,-7.0719e-08,-3.19868e-05,240.753,693.434,29863.3
32400,240.553,0.886954,103.523,19144.4,989.114,83621.5,0.021806,0.022068,-6.59599e-08,-3.19906e-05,240.85,692.38,29866.9
36000,240.607,0.886725,107.741,19144.3,987.71,83621.4,0.0218083,0.0220508,-6.1532e-08,-3.19942e-05,240.941,691.397,29870.2
39600,240.659,0.886511,111.621,19144.3,986.4,83621.2,0.0218104,0.0220351,-5.74819e-08,-3.19974e-05,241.027,690.48,29873.1
43200,240.707,0.886311,115.271,19144.3,985.175,83621.1,0.0218125,0.0220206,-5.37256e-08,-3.20004e-05,241.108,689.623,29875.9
46800,240.751,0.886124,118.69,19144.3,984.032,83621,0.0218144,0.022007,-5.01995e-08,-3.20031e-05,241.184,688.823,29878.4
50400,240.793,0.885949,121.87,19144.2,982.965,83620.9,0.0218161,0.0219942,-4.68961e-08,-3.20057e-05,241.254,688.076,29880.9
54000,240.832,0.885786,124.829,19144.2,981.969,83620.8,0.0218178,0.0219823,-4.38135e-08,-3.20081e-05,241.321,687.379,29883.1
57600,240.869,0.885634,127.588,19144.2,981.04,83620.7,0.0218193,0.0219712,-4.09399e-08,-3.20103e-05,241.383,686.728,29885.2
61200,240.903,0.885492,130.169,19144.1,980.173,83620.6,0.0218207,0.0219608,-3.82489e-08,-3.20124e-05,241.441,686.121,29887.1
64800,240.935,0.885359,132.559,19144.1,979.364,83620.4,0.021822,0.0219511,-3.57559e-08,-3.20143e-05,241.496,685.555,29888.9
68400,240.965,0.885234,134.847,19144.1,978.608,83620.3,0.0218233,0.021942,-3.34008e-08,-3.20161e-05,241.547,685.026,29890.6
72000,240.993,0.885118,136.899,19144.1,977.905,83620.2,0.0218244,0.0219333,-3.11736e-08,-3.20178e-05,241.594,684.533,29892.2
75600,241.019,0.88501,138.805,19144,977.249,83620.1,0.0218254,0.0219255,-2.91645e-08,-3.20194e-05,241.639,684.075,29893.6
79200,241.044,0.884908,140.675,19144,976.636,83620,0.0218265,0.0219181,-2.72502e-08,-3.20208e-05,241.68,683.646,29895
82800,241.067,0.884813,142.32,19144,976.067,83619.9,0.0218274,0.021911,-2.54231e-08,-3.20222e-05,241.719,683.247,29896.2
86400,241.088,0.884725,143.851,19144,975.536,83619.7,0.0218282,0.0219046,-2.37834e-08,-3.20235e-05,241.756,682.875,29897.4
90000,241.108,0.884642,145.344,19143.9,975.041,83619.6,0.021829,0.0218987,-2.22594e-08,-3.20247e-05,241.79,682.528,29898.5
